singkat,hasil
dislngkuhin ,di selingkuhin
ditagih,di tagih
ditemenin,ditemani
diwaroh,di jawab
dkit,sedikit
dkk,dan kawan kawan
dkomplen,di komplain
dksh,diberi
dkshnya,diberinya
dkt,dekat
dl,dulu
dll,dan lain lain
dlm,dalam
dlu,dulu
dmn,dimana
dmna,dimana
dn,dan
dng,dengan
dngan,dengan
dngar,dengar
dnger,dengar
dngerin,dengarkan
dngn,dengan
dngr,dengar
doang,saja
doank,doang
doi,dia
donggo,bodoh
dongss,dong
doong,dong
dosponsori,disponsori
doy,suka
doyan,suka
dpan,depan
dpet,dapat
dpn,depan
dpny,depannya
dprri,dpr republik indonesia
dpt,dapat
dptkan,dapat kan
dr,dari
drasakn,dirasakan
dri,dari
dripda,daripada
drmh,dirumah
drp,daripada
drpada,daripada
drpd,daripada
drtd,dari tadi
dsb,dan sebagainya
dsbnya,dan sebagai nya
dsuruh,di suruh
dtabung,di tabung
dtang,datang
dtk,detik
dtng,datang
dtunggu,di tunggu
dulur,saudara
dungu,bodoh
duwet,duet
duwit,duit
dy,dia
dya,dia
dzalim,zalim
eaaaaa,ea
eakyu,waktu
ebong,cebong
ebonger,cebonger
ebonk,cebong
ebuset,buset
ediot,idiot
eeaaaa,ya
eehh,eh
eehhh,eh
efeklaparjuga,efek lapar juga
efekldr,efek ldr
egonya,egois nya
egp,memang saya pikirin
eheheheh,hehe
ehh,eh
ehmmm,hem
ehmmmm,hem
eike,saya
ekwkwkw,wkwk
elu,kamu
emak,ibu
emang,memang
emanggg,emang
emangny,memang nya
emangnya,memang nya
emank,memang
emg,memang
emggak,tidak
emng,memang
enaaak,enak
eneg,muak
enek,muak
enga,tidak
engga,tidak
enggaaaaaaa,tidak
enggak,tidak
enggk,gak
engk,tidak
ente,kamu
enteng,mudah
eps,episode
esok,besok
eug,aku
faaak,fuck
fakefrendzz,teman penipu
fatamorganaaaaaaa,fatamorgana
fh,fakultas hukum
fikrikan,pikirkan
fine,baik
freaky,aneh
fucking,fuck
full,penuh
g,gak
ga,tidak
gaa,tidak
gaabis,tidak habis
gaada,tidak ada
gabakal,tidak akan
gabakalan,tidak bakalan
gabener,tidak benar
